text,label
"Bu ürünü çok sevdim, kalitesi harika ve kargo çok hızlıydı.","olumlu"
"Berbat bir deneyim, ürün kırık geldi ve destek yardımcı olmadı.","olumsuz"
"Kesinlikle harika! Beklentilerimi aştı.","olumlu"
"Hayatımda yaptığım en kötü alışveriş. Sakın almayın.","olumsuz"
"Pil ömrü harika ve tasarımı çok şık.","olumlu"
"Ses kalitesi rezalet, sürekli bağlantı kopuyor.","olumsuz"
"Bir hafta içinde bozuldu. Çok hayal kırıklığı.","olumsuz"
"Kullanımı çok rahat ve oldukça hafif.","olumlu"
"Paraya değmez. Ucuz malzeme ve kötü işçilik.","olumsuz"
"Müşteri hizmetleri sorunu hızlı çözdü. Memnun kaldım.","olumlu"
"Renkler canlı ve ekran parlak.","olumlu"
"Çok gürültülü ve performansı tutarsız.","olumsuz"
"Kurulumu kolaydı ve anlatıldığı gibi çalışıyor.","olumlu"
"Kullanılmış ürün geldi. Kabul edilemez!","olumsuz"
"Bu yıl aldığım en iyi şey, kesinlikle tavsiye ederim.","olumlu"
"Vasatın ötesine geçemedi, bu markadan daha fazlasını bekliyordum.","olumsuz"
"Kutudan çıktığı gibi mükemmel çalıştı.","olumlu"
"Uygulama hatalarla dolu ve sık sık çöküyor.","olumsuz"

